brand,model_name,room_size,capacity_ton,energy_efficiency,inverter,operating_range,installation_required,delivery_duration,ac_type,smart_features,noise_levels,stars,price,warranty,portability,description
Panasonic,1.5 Ton 3 Star Inverter Split AC,18,1.5,3,Yes,18–48 °C,Yes,2–4 days,Split,None,35 dB,4.8,44190,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹44190: Panasonic 1.5 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 35 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–48 °C."
Carrier,AI Convertible 6-in-1 Inverter Split AC 1.5 Ton,18,1.5,3,Yes,18–48 °C,Yes,5–7 days,Split,4‑Way Swing,40 dB,4.0,43090,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹43090: Carrier AI Convertible 6-in-1 Inverter Split AC 1.5 Ton offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 40 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–48 °C."
Mitsubishi Electric,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–48 °C,Yes,3–5 days,Split,Dehumidifier,42 dB,3.8,53080,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹53080: Mitsubishi Electric 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 42 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–48 °C."
Hitachi,1.2 Ton 4 Star Dual Inverter Split AC,14,1.2,4,Yes,18–45 °C,Yes,4–6 days,Split,4‑Way Swing,44 dB,4.2,52380,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹52380: Hitachi 1.2 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.2 Ton for ~14 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 44 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–45 °C."
Croma,1.2 Ton 4 Star Dual Inverter Split AC,14,1.2,4,Yes,18–45 °C,Yes,5–7 days,Split,Self Clean,35 dB,4.6,47940,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹47940: Croma 1.2 Ton 4 Star Dual Inverter Split AC offers a cooling capacity of 1.2 Ton for ~14 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 35 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–45 °C."
Whirlpool,1.5 Ton 3 Star Inverter Split AC,18,1.5,3,Yes,18–50 °C,Yes,5–7 days,Split,Wi‑Fi App Control,37 dB,4.0,48500,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹48500: Whirlpool 1.5 Ton 3 Star Inverter Split AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 37 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–50 °C."
Croma,Convertible 5-in-1 Inverter Split AC 1.5 Ton,18,1.5,3,Yes,16–52 °C,Yes,3–5 days,Split,Wi‑Fi + Voice,35 dB,4.1,45500,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹45500: Croma Convertible 5-in-1 Inverter Split AC 1.5 Ton offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is quiet at around 35 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 16–52 °C."
Samsung,2.0 Ton 3 Star Inverter Split AC,24,2.0,3,Yes,18–45 °C,Yes,4–6 days,Split,Dehumidifier,42 dB,4.2,52390,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹52390: Samsung 2.0 Ton 3 Star Inverter Split AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Split form factor. Comfort is moderately quiet at around 42 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–45 °C."
Carrier,1.0 Ton 3 Star Window AC,12,1.0,3,No,18–45 °C,Yes,5–7 days,Window,None,53 dB,4.0,28390,"1 Year Comprehensive, 10 Years Compressor",Semi-portable,"Price ₹28390: Carrier 1.0 Ton 3 Star Window AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 53 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–45 °C."
Lloyd,1.0 Ton 5 Star Window Inverter AC,12,1.0,5,Yes,18–45 °C,Yes,3–5 days,Window,Self Clean,54 dB,4.2,32370,"1 Year Product, 10 Years Compressor",Semi-portable,"Price ₹32370: Lloyd 1.0 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 54 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–45 °C."
Whirlpool,1.5 Ton 5 Star Window Inverter AC,18,1.5,5,Yes,18–48 °C,Yes,5–7 days,Window,Wi‑Fi + Voice,56 dB,3.7,36460,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹36460: Whirlpool 1.5 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 56 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
Samsung,1.5 Ton 5 Star Window Inverter AC,18,1.5,5,Yes,18–48 °C,Yes,5–7 days,Window,Wi‑Fi + Voice,48 dB,4.0,35360,"1 Year Comprehensive, 10 Years Compressor",Semi-portable,"Price ₹35360: Samsung 1.5 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 48 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
Hitachi,1.5 Ton 3 Star Window AC,18,1.5,3,No,18–50 °C,Yes,5–7 days,Window,Self Clean,54 dB,4.0,27340,"1 Year Comprehensive, 10 Years Compressor",Semi-portable,"Price ₹27340: Hitachi 1.5 Ton 3 Star Window AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 54 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–50 °C."
LG,1.0 Ton 3 Star Window AC,12,1.0,3,No,18–50 °C,Yes,3–5 days,Window,Wi‑Fi App Control,48 dB,4.5,26050,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹26050: LG 1.0 Ton 3 Star Window AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 48 dB. Smart features: Wi‑Fi App Control. Ideal for Indian summers with an operating range of 18–50 °C."
IFB,1.0 Ton 3 Star Window AC,12,1.0,3,No,18–48 °C,Yes,3–5 days,Window,Wi‑Fi + Voice,55 dB,4.4,31240,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹31240: IFB 1.0 Ton 3 Star Window AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 55 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
Hitachi,1.5 Ton 3 Star Window AC,18,1.5,3,No,18–50 °C,Yes,3–5 days,Window,Convertible Modes,49 dB,4.6,28680,"1 Year Comprehensive, 10 Years Compressor",Semi-portable,"Price ₹28680: Hitachi 1.5 Ton 3 Star Window AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 49 dB. Smart features: Convertible Modes. Ideal for Indian summers with an operating range of 18–50 °C."
Samsung,1.0 Ton 3 Star Window AC,12,1.0,3,No,18–50 °C,Yes,5–7 days,Window,PM2.5 Filter,51 dB,3.8,25980,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹25980: Samsung 1.0 Ton 3 Star Window AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 51 dB. Smart features: PM2.5 Filter. Ideal for Indian summers with an operating range of 18–50 °C."
Haier,1.5 Ton 3 Star Window AC,18,1.5,3,No,16–52 °C,Yes,2–4 days,Window,Anti‑Bacterial Filter,56 dB,4.2,32070,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹32070: Haier 1.5 Ton 3 Star Window AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 56 dB. Smart features: Anti‑Bacterial Filter. Ideal for Indian summers with an operating range of 16–52 °C."
Lloyd,1.5 Ton 3 Star Window AC,18,1.5,3,No,16–52 °C,Yes,5–7 days,Window,4‑Way Swing,49 dB,4.2,31930,"1 Year Comprehensive, 10 Years Compressor",Semi-portable,"Price ₹31930: Lloyd 1.5 Ton 3 Star Window AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 49 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 16–52 °C."
Haier,1.0 Ton 5 Star Window Inverter AC,12,1.0,5,Yes,18–45 °C,Yes,3–5 days,Window,Dehumidifier,52 dB,4.4,34820,"2 Years Product, 10 Years Compressor",Semi-portable,"Price ₹34820: Haier 1.0 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 52 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–45 °C."
Hitachi,1.5 Ton 5 Star Window Inverter AC,18,1.5,5,Yes,18–50 °C,Yes,4–6 days,Window,Smart Diagnosis,49 dB,4.0,37380,"1 Year Comprehensive, 10 Years Compressor",Semi-portable,"Price ₹37380: Hitachi 1.5 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 49 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 18–50 °C."
Mitsubishi Electric,1.5 Ton 5 Star Window Inverter AC,18,1.5,5,Yes,18–45 °C,Yes,4–6 days,Window,None,55 dB,4.6,32980,"2 Years Product, 10 Years Compressor",Semi-portable,"Price ₹32980: Mitsubishi Electric 1.5 Ton 5 Star Window Inverter AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 5-Star with inverter compression, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 55 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–45 °C."
Panasonic,1.5 Ton 3 Star Window AC,18,1.5,3,No,18–50 °C,Yes,4–6 days,Window,Self Clean,52 dB,4.3,34460,"1 Year Product, 5 Years Compressor",Semi-portable,"Price ₹34460: Panasonic 1.5 Ton 3 Star Window AC offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Semi-portable' for the Window form factor. Comfort is moderately quiet at around 52 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–50 °C."
Croma,1.5 Ton Portable AC Copper Condenser (CRC),18,1.5,4,No,18–45 °C,No,5–7 days,Portable,Dehumidifier,53 dB,4.5,49040,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹49040: Croma 1.5 Ton Portable AC Copper Condenser (CRC) offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 53 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–45 °C."
Blue Star,PC12DB 1 Ton Portable AC,12,1.0,3,No,18–48 °C,No,5–7 days,Portable,Smart Diagnosis,54 dB,4.4,39050,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹39050: Blue Star PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 54 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 18–48 °C."
LG,0.8 Ton Portable Smart AC,10,0.8,4,No,18–50 °C,No,4–6 days,Portable,4‑Way Swing,54 dB,4.0,37780,"1 Year Product, 5 Years Compressor",Portable,"Price ₹37780: LG 0.8 Ton Portable Smart AC offers a cooling capacity of 0.8 Ton for ~10 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 54 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–50 °C."
Cruise,1.0 Ton Portable AC,12,1.0,2,No,18–48 °C,No,3–5 days,Portable,Smart Diagnosis,57 dB,4.0,42660,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹42660: Cruise 1.0 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 2-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 57 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 18–48 °C."
Croma,1.5 Ton Portable AC Copper Condenser (CRC),18,1.5,3,No,18–48 °C,No,4–6 days,Portable,Wi‑Fi + Voice,54 dB,3.7,46750,"1 Year Product, 5 Years Compressor",Portable,"Price ₹46750: Croma 1.5 Ton Portable AC Copper Condenser (CRC) offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 3-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 54 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–48 °C."
Carrier,PC12DB 1 Ton Portable AC,12,1.0,2,No,18–50 °C,No,3–5 days,Portable,4‑Way Swing,51 dB,4.7,42400,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹42400: Carrier PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 2-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 51 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–50 °C."
Voltas,0.8 Ton Portable Smart AC,10,0.8,3,No,18–50 °C,No,3–5 days,Portable,None,54 dB,4.7,38830,"1 Year Product, 5 Years Compressor",Portable,"Price ₹38830: Voltas 0.8 Ton Portable Smart AC offers a cooling capacity of 0.8 Ton for ~10 m² rooms. Energy efficiency is 3-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 54 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–50 °C."
Croma,0.8 Ton Portable Smart AC,10,0.8,3,No,16–52 °C,No,2–4 days,Portable,Wi‑Fi + Voice,52 dB,4.6,35980,"1 Year Product, 5 Years Compressor",Portable,"Price ₹35980: Croma 0.8 Ton Portable Smart AC offers a cooling capacity of 0.8 Ton for ~10 m² rooms. Energy efficiency is 3-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 52 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 16–52 °C."
Cruise,PC12DB 1 Ton Portable AC,12,1.0,4,No,18–45 °C,No,3–5 days,Portable,Dehumidifier,56 dB,4.2,43250,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹43250: Cruise PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 56 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–45 °C."
Panasonic,1.0 Ton Portable AC,12,1.0,4,No,16–52 °C,No,2–4 days,Portable,Smart Diagnosis,53 dB,4.0,37330,"1 Year Product, 5 Years Compressor",Portable,"Price ₹37330: Panasonic 1.0 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 53 dB. Smart features: Smart Diagnosis. Ideal for Indian summers with an operating range of 16–52 °C."
Cruise,1.5 Ton Portable AC Copper Condenser (CRC),18,1.5,4,No,16–52 °C,No,3–5 days,Portable,None,56 dB,4.2,50730,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹50730: Cruise 1.5 Ton Portable AC Copper Condenser (CRC) offers a cooling capacity of 1.5 Ton for ~18 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 56 dB. Smart features: None. Ideal for Indian summers with an operating range of 16–52 °C."
Carrier,PC12DB 1 Ton Portable AC,12,1.0,2,No,18–50 °C,No,4–6 days,Portable,4‑Way Swing,51 dB,4.5,37330,"1 Year Product, 5 Years Compressor",Portable,"Price ₹37330: Carrier PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 2-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 51 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–50 °C."
Panasonic,PC12DB 1 Ton Portable AC,12,1.0,4,No,18–48 °C,No,3–5 days,Portable,Self Clean,52 dB,3.8,38720,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹38720: Panasonic PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 4-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 52 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–48 °C."
Carrier,0.8 Ton Portable Smart AC,10,0.8,2,No,18–45 °C,No,4–6 days,Portable,PM2.5 Filter,54 dB,4.3,39090,"1 Year Comprehensive, 10 Years Compressor",Portable,"Price ₹39090: Carrier 0.8 Ton Portable Smart AC offers a cooling capacity of 0.8 Ton for ~10 m² rooms. Energy efficiency is 2-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 54 dB. Smart features: PM2.5 Filter. Ideal for Indian summers with an operating range of 18–45 °C."
Croma,PC12DB 1 Ton Portable AC,12,1.0,3,No,18–50 °C,No,4–6 days,Portable,None,51 dB,4.0,42420,"1 Year Product, 5 Years Compressor",Portable,"Price ₹42420: Croma PC12DB 1 Ton Portable AC offers a cooling capacity of 1.0 Ton for ~12 m² rooms. Energy efficiency is 3-Star, and portability is 'Portable' for the Portable form factor. Comfort is moderately quiet at around 51 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–50 °C."
Samsung,3.5 Ton 4 Star Ducted AC,42,3.5,4,Yes,16–52 °C,Yes,3–5 days,Central,4‑Way Swing,50 dB,4.4,146560,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹146560: Samsung 3.5 Ton 4 Star Ducted AC offers a cooling capacity of 3.5 Ton for ~42 m² rooms. Energy efficiency is 4-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 50 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 16–52 °C."
Hitachi,4.0 Ton VRF Indoor Cassette,48,4.0,3,Yes,18–45 °C,Yes,2–4 days,Central,4‑Way Swing,47 dB,4.1,147260,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹147260: Hitachi 4.0 Ton VRF Indoor Cassette offers a cooling capacity of 4.0 Ton for ~48 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 47 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–45 °C."
Samsung,3.0 Ton 3 Star Ducted AC,36,3.0,3,Yes,18–50 °C,Yes,5–7 days,Central,4‑Way Swing,46 dB,4.4,128560,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹128560: Samsung 3.0 Ton 3 Star Ducted AC offers a cooling capacity of 3.0 Ton for ~36 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 46 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–50 °C."
Voltas,2.0 Ton 3 Star Ducted AC,24,2.0,3,Yes,18–50 °C,Yes,4–6 days,Central,Anti‑Bacterial Filter,43 dB,4.8,108620,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹108620: Voltas 2.0 Ton 3 Star Ducted AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 43 dB. Smart features: Anti‑Bacterial Filter. Ideal for Indian summers with an operating range of 18–50 °C."
Mitsubishi Electric,5.0 Ton Ductable AC,60,5.0,3,Yes,18–45 °C,Yes,5–7 days,Central,None,45 dB,4.3,170170,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹170170: Mitsubishi Electric 5.0 Ton Ductable AC offers a cooling capacity of 5.0 Ton for ~60 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 45 dB. Smart features: None. Ideal for Indian summers with an operating range of 18–45 °C."
Samsung,2.0 Ton 3 Star Ducted AC,24,2.0,3,Yes,18–48 °C,Yes,4–6 days,Central,Dehumidifier,44 dB,4.7,109180,"2 Years Product, 10 Years Compressor",Fixed,"Price ₹109180: Samsung 2.0 Ton 3 Star Ducted AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 44 dB. Smart features: Dehumidifier. Ideal for Indian summers with an operating range of 18–48 °C."
Daikin,2.0 Ton 3 Star Ducted AC,24,2.0,3,Yes,18–48 °C,Yes,3–5 days,Central,Self Clean,50 dB,3.7,108680,"1 Year Product, 5 Years Compressor",Fixed,"Price ₹108680: Daikin 2.0 Ton 3 Star Ducted AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 50 dB. Smart features: Self Clean. Ideal for Indian summers with an operating range of 18–48 °C."
Blue Star,2.0 Ton 3 Star Ducted AC,24,2.0,3,Yes,18–45 °C,Yes,2–4 days,Central,Wi‑Fi + Voice,49 dB,4.7,106780,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹106780: Blue Star 2.0 Ton 3 Star Ducted AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 49 dB. Smart features: Wi‑Fi + Voice. Ideal for Indian summers with an operating range of 18–45 °C."
Voltas,4.0 Ton VRF Indoor Cassette,48,4.0,3,Yes,18–45 °C,Yes,3–5 days,Central,4‑Way Swing,50 dB,3.9,145120,"1 Year Comprehensive, 10 Years Compressor",Fixed,"Price ₹145120: Voltas 4.0 Ton VRF Indoor Cassette offers a cooling capacity of 4.0 Ton for ~48 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 50 dB. Smart features: 4‑Way Swing. Ideal for Indian summers with an operating range of 18–45 °C."
Samsung,2.0 Ton 3 Star Ducted AC,24,2.0,3,Yes,18–50 °C,Yes,5–7 days,Central,Anti‑Bacterial Filter,50 dB,4.0,102040,"1 Year Product, 10 Years Compressor",Fixed,"Price ₹102040: Samsung 2.0 Ton 3 Star Ducted AC offers a cooling capacity of 2.0 Ton for ~24 m² rooms. Energy efficiency is 3-Star with inverter compression, and portability is 'Fixed' for the Central form factor. Comfort is moderately quiet at around 50 dB. Smart features: Anti‑Bacterial Filter. Ideal for Indian summers with an operating range of 18–50 °C."
